moduleId/I, x0_cm/D, y0_cm/D, z0_cm/D, x1_cm/D, y1_cm/D, z1_cm/D, x2_cm/D, y2_cm/D, z2_cm/D, x3_cm/D, y3_cm/D, z3_cm/D, nstrips/I, nwires/I, nwiregroups/I, evenBit/I, frBit/I, ccwBit/I
96, 30.52577209, 366.52014160, 1013.57977295, 97.01805115, 354.79226685, 1013.57977295, 181.47457886, 663.45111084, 1013.57977295, 57.13109589, 685.38275146, 1013.57977295, 80, 1024, 64, 0, 1, 0
97, -33.54652786, 366.24169922, 1038.37976074, 33.97210693, 366.24633789, 1038.37976074, 63.50929642, 684.88525391, 1038.37976074, -62.75352859, 684.87652588, 1038.37976074, 80, 1024, 64, 1, 0, 0
98, -96.66450500, 354.84912109, 1013.57977295, -30.16915894, 366.55966187, 1013.57977295, -56.32271957, 685.49407959, 1013.57977295, -180.67193604, 663.59490967, 1013.57977295, 80, 1024, 64, 0, 1, 0
99, -156.74909973, 332.68090820, 1038.37976074, -93.30243683, 355.77392578, 1038.37976074, -174.50747681, 665.30407715, 1038.37976074, -293.15554810, 622.11914062, 1038.37976074, 80, 1024, 64, 1, 0, 0
100, -212.15545654, 300.38800049, 1013.57977295, -153.68301392, 334.14807129, 1013.57977295, -287.40603638, 624.87359619, 1013.57977295, -396.75207520, 561.74084473, 1013.57977295, 80, 1024, 64, 0, 1, 0
101, -261.06097412, 259.00381470, 1038.37976074, -209.33816528, 302.40328979, 1038.37976074, -391.50692749, 565.49584961, 1038.37976074, -488.23089600, 484.33697510, 1038.37976074, 80, 1024, 64, 1, 0, 0
102, -71.59254456, 72.53844452, 615.73352051, -92.93438721, 64.33193970, 615.76483154, -228.96241760, 158.26922607, 615.79541016, -176.40713501, 178.47813416, 615.71826172, 64, 586, 48, 0, 0, 1
103, -83.03678131, 58.86713409, 586.45587158, -102.63896179, 47.09532166, 586.48590088, -252.85620117, 116.10703278, 586.46282959, -204.58491516, 145.09567261, 586.38891602, 64, 586, 48, 1, 1, 1
104, -92.03916931, 43.60590744, 615.87335205, -109.29602051, 28.60528946, 615.80541992, -269.22406006, 70.44836426, 615.65234375, -226.72824097, 107.38808441, 615.81970215, 64, 586, 48, 0, 0, 1
105, -199.52551270, 201.28039551, 711.29150391, -232.98072815, 161.41563416, 711.41864014, -374.95928955, 259.74041748, 711.32592773, -321.12402344, 323.88977051, 711.12127686, 80, 554, 64, 0, 0, 1
106, -231.52592468, 163.53994751, 683.90222168, -257.55459595, 118.47363281, 683.93994141, -414.44345093, 190.66476440, 683.85589600, -372.55880737, 263.18432617, 683.79522705, 80, 554, 64, 1, 1, 1
107, -256.34155273, 120.83209229, 711.38629150, -274.14959717, 71.93103790, 711.22814941, -441.19021606, 115.78416443, 711.13763428, -412.53399658, 194.47451782, 711.39221191, 80, 554, 64, 0, 0, 1
108, -371.61126709, 357.07058716, 694.05584717, -416.51461792, 303.58096313, 694.43640137, -545.62402344, 397.71768188, 694.34082031, -486.80020142, 467.78967285, 693.84228516, 64, 521, 32, 0, 0, 1
109, -427.92877197, 287.09997559, 694.16949463, -462.84707642, 226.61608887, 694.26849365, -606.35888672, 296.86788940, 694.17175293, -560.61566162, 376.10241699, 694.04205322, 64, 521, 32, 1, 0, 1
110, -471.33105469, 208.44648743, 694.11401367, -495.24005127, 142.82670593, 694.11401367, -648.75445557, 187.14717102, 694.11401367, -617.43347168, 273.10977173, 694.11401367, 64, 521, 32, 0, 0, 1
111, -71.76475525, 72.34422302, 615.65307617, -92.63589478, 64.32192993, 615.63586426, -228.27096558, 158.42370605, 615.57165527, -176.87484741, 178.17898560, 615.61407471, 48, 586, 48, 0, 0, 1
112, -83.29569244, 58.81220627, 586.57147217, -102.46216583, 47.29675293, 586.62231445, -252.34445190, 116.48617554, 586.24371338, -205.14616394, 144.84352112, 586.11846924, 48, 586, 48, 1, 1, 1
113, -92.20401764, 43.45369720, 615.77191162, -109.07444763, 28.77889633, 615.74560547, -268.70892334, 70.83493805, 615.36004639, -227.16471863, 106.97232056, 615.42480469, 48, 586, 48, 0, 0, 1
114, -98.21285248, 26.98474884, 586.44482422, -112.59712982, 9.21086693, 586.50347900, -277.36572266, 22.59513855, 586.57385254, -241.94377136, 66.36415100, 586.42944336, 64, 586, 48, 1, 1, 1
115, -101.37033081, 9.41779232, 615.74615479, -112.46903992, -10.57321262, 615.74615479, -277.07348633, -25.84473228, 615.74615479, -249.74234009, 23.38405228, 615.74615479, 64, 586, 48, 0, 0, 1
116, -101.52406311, -8.25911140, 586.46215820, -108.97175598, -29.87721634, 586.56842041, -268.40118408, -73.58190918, 586.53784180, -250.06085205, -20.34631920, 586.27624512, 64, 586, 48, 1, 1, 1
117, -273.47354126, 74.51371002, 683.93395996, -282.53121948, 23.26506805, 683.91607666, -454.64593506, 37.48480225, 683.91577148, -440.07058716, 119.95281982, 683.94458008, 80, 554, 64, 1, 1, 1
118, -282.18603516, 25.86849594, 711.19458008, -282.22729492, -26.17435646, 711.26647949, -454.20257568, -41.99044418, 711.42114258, -454.13623047, 41.75558853, 711.30548096, 80, 554, 64, 0, 0, 1
119, -282.41870117, -23.52939987, 684.03320312, -273.37915039, -74.78073120, 683.80249023, -439.95718384, -120.35968018, 683.70916748, -454.50335693, -37.88733673, 684.08044434, 80, 554, 64, 1, 1, 1
120, -500.30828857, 123.39620209, 694.05419922, -512.49499512, 54.62787247, 694.04785156, -671.36444092, 71.69984436, 694.16906738, -655.39984131, 161.78706360, 694.17736816, 64, 521, 32, 1, 0, 1
121, -514.17041016, 34.64065552, 694.22253418, -514.18835449, -35.19885635, 694.02233887, -673.60229492, -46.06969833, 694.00439453, -673.57879639, 45.42077637, 694.26666260, 64, 521, 32, 0, 0, 1
122, -512.34399414, -55.16880798, 694.07775879, -500.20956421, -123.94636536, 694.10565186, -655.30023193, -162.38934326, 694.15478516, -671.19653320, -72.29005432, 694.11822510, 64, 521, 32, 1, 0, 1
123, -98.34819031, 26.77429581, 586.41656494, -112.41674805, 9.39506912, 586.40692139, -276.92709351, 23.11701965, 586.13378906, -242.28265381, 65.91418457, 586.15759277, 48, 586, 48, 1, 1, 1
124, -101.51766968, 9.28351688, 615.77148438, -112.37107086, -10.26553059, 615.78131104, -276.77758789, -25.18082237, 615.54187012, -250.05059814, 22.95961761, 615.51763916, 48, 586, 48, 0, 0, 1
125, -101.58219147, -8.49489403, 586.44464111, -108.86544800, -29.63526535, 586.41961670, -268.16265869, -72.95237732, 586.20526123, -250.22732544, -20.89323425, 586.26684570, 48, 586, 48, 1, 1, 1
